id,year,song,artist,sentence
1,1959,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,"En 1959, ""Nel Blu Dipinto Di Blu (Volare)"" obtuvo el Grammy a Canción del Año y fue interpretada por Domenico Modugno."
2,1959,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,"La obra ""Nel Blu Dipinto Di Blu (Volare)"", asociada con Domenico Modugno, ganó la categoría Canción del Año en los Grammy de 1959."
3,1959,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,"Durante la ceremonia de los Grammy de 1959, ""Nel Blu Dipinto Di Blu (Volare)"" fue reconocida como Canción del Año."
4,1959,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,"El premio Grammy a Canción del Año de 1959 correspondió a ""Nel Blu Dipinto Di Blu (Volare)"", interpretada por Domenico Modugno."
5,1959,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,"Entre los ganadores históricos de los Grammy figura ""Nel Blu Dipinto Di Blu (Volare)"", premiada como Canción del Año en 1959."
6,1959,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,"Domenico Modugno estuvo vinculado al triunfo de ""Nel Blu Dipinto Di Blu (Volare)"" en la categoría Canción del Año de los Grammy de 1959."
7,1959,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,"La edición de los Grammy celebrada en 1959 distinguió a ""Nel Blu Dipinto Di Blu (Volare)"" con el premio a Canción del Año."
8,1959,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,"En el historial de los Grammy, ""Nel Blu Dipinto Di Blu (Volare)"" aparece como la ganadora de Canción del Año correspondiente a 1959."
9,1959,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,"La canción ""Nel Blu Dipinto Di Blu (Volare)"", interpretada por Domenico Modugno, recibió uno de los principales Grammy en 1959."
10,1959,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,"El reconocimiento a Canción del Año en los Grammy de 1959 fue para la composición titulada ""Nel Blu Dipinto Di Blu (Volare)""."
11,1959,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,"Según el registro histórico de los Grammy, ""Nel Blu Dipinto Di Blu (Volare)"" ganó Canción del Año en 1959."
12,1959,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,"La participación de Domenico Modugno quedó ligada a ""Nel Blu Dipinto Di Blu (Volare)"", la Canción del Año en los Grammy de 1959."
13,1959,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,"En 1959, la Recording Academy premió a ""Nel Blu Dipinto Di Blu (Volare)"" dentro de la categoría Canción del Año."
14,1959,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,"El título ""Nel Blu Dipinto Di Blu (Volare)"" forma parte de la lista de obras ganadoras del Grammy a Canción del Año, gracias a su victoria en 1959."
15,1959,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,"La ceremonia de 1959 incorporó a ""Nel Blu Dipinto Di Blu (Volare)"", interpretada por Domenico Modugno, al grupo de ganadoras de Canción del Año."
16,1960,The Battle Of New Orleans,Jimmy Driftwood,"En 1960, ""The Battle Of New Orleans"" obtuvo el Grammy a Canción del Año y fue interpretada por Jimmy Driftwood."
17,1960,The Battle Of New Orleans,Jimmy Driftwood,"La obra ""The Battle Of New Orleans"", asociada con Jimmy Driftwood, ganó la categoría Canción del Año en los Grammy de 1960."
18,1960,The Battle Of New Orleans,Jimmy Driftwood,"Durante la ceremonia de los Grammy de 1960, ""The Battle Of New Orleans"" fue reconocida como Canción del Año."
19,1960,The Battle Of New Orleans,Jimmy Driftwood,"El premio Grammy a Canción del Año de 1960 correspondió a ""The Battle Of New Orleans"", interpretada por Jimmy Driftwood."
20,1960,The Battle Of New Orleans,Jimmy Driftwood,"Entre los ganadores históricos de los Grammy figura ""The Battle Of New Orleans"", premiada como Canción del Año en 1960."
21,1960,The Battle Of New Orleans,Jimmy Driftwood,"Jimmy Driftwood estuvo vinculado al triunfo de ""The Battle Of New Orleans"" en la categoría Canción del Año de los Grammy de 1960."
22,1960,The Battle Of New Orleans,Jimmy Driftwood,"La edición de los Grammy celebrada en 1960 distinguió a ""The Battle Of New Orleans"" con el premio a Canción del Año."
